タイトル,五十音,作者(原作),出版,掲載紙,発行年,持ち欠け,掲載期間,サイズ,各刊発行年　版
監督不行届,あ,安野モヨコ,祥伝社,フィールヤング,2005/2/15,,,A5,2021/4/15 21刷 帯付き
いつまでもどこまでも,あ,阿乱霊,久保書店,ワールドコミックス,1983/8/15,,,A5,1刷 広告付き
Hideo Collection5 大冒険児,あ,吾妻ひでお,双葉社,アクションコミックス,1985/3/23,,,A5,1刷
Hideo Collection6陽はまた昇る,あ,吾妻ひでお,双葉社,アクションコミックス,1985/4/23,,,A5,1刷
定本ときめきアリス,あ,吾妻ひでお,チクマ秀出版,-,2006/6/25,,,A5,1刷
20世紀のための吾妻ひでお,あ,吾妻ひでお,河出書房,-,2012/1/30,,,A5,やけくそ天使<br>スクラップ学園<br>どろろん忍者<br> どーでもいんなーすぺーす<br>Dr.アジマフ ロボット連れて<br>不気味が走る<br>ちびママちゃん
ななこSOS完全版,あ,吾妻ひでお,復刊ドットコム,-,2019/12/25,全3巻あり,,A5,
スプライツ,あ,赤石沢貴士,富士見書房,富士見ファンタジアコミックス,1990/3/30,,,A5,1刷 帯付き
微熱空間,あ,蒼樹うめ,白泉社,楽園コミックス,2016/5/3,1～2巻のみ,,A5,1: 2016/5/3 1刷 帯付き<br>2: 2018/5/2 1刷 帯付き
アモン・サーガ,あ,天野喜孝(夢枕獏),徳間書店,モーションブックス,1984/8/20,,,A5,1刷
サイレントメビウス,あ,麻宮騎亜,角川書店,コンプコミックスDX,1989/6/10,全12巻あり,,A5,1: 1991/8/5 19刷<br>2: 1992/8/15 18刷<br>3: 1992/12/5 12刷<br>4: 1991/10/5 2刷<br>5: 1992/6/25 1刷<br>6: 1994/4/25 1刷 帯ハガキ付き<br>7: 1995/8/1 1刷 帯広告付き<br>8: 1996/7/1 1刷 帯広告付き<br>9: 1997/8/1 1刷 帯広告ハガキ付き<br>10: 1998/4/20 1刷 帯広告付き<br>11: 1999/8/258 1刷<br>12: 1999/10/15 1刷
メビウスクライン,あ,麻宮騎亜,メディアファクトリー,電撃コミックスEX,1994/5/10,,,A5,1刷 帯ハガキ付き
神星記ヴァグランツ,あ,麻宮騎亜(ヴォクソール・プロ),角川書店,ドラゴンコミックス,1987/4/1,全2巻あり,,A5,1: 1992/3/10 21刷<br>2: 1992/6/15 12刷
月詠,あ,有馬啓太郎,ワニブックス,コミックガム,2000/4/10,全16巻あり,,A5,1: 2000/12/5 5刷 帯付き<br>2: 2001/6/25 3刷 帯付き<br>3: 2001/6/25 2刷<br>4: 2002/1/10 1刷 帯付き<br>5: 2002/7/10 1刷 帯付き<br>6: 2003/3/10 1刷<br>7: 2003/11/10 1刷 帯ハガキ付き<br>8: 2004/12/10 3刷 帯付き<br>9: 2005/1/10 1刷 帯ハガキ付き<br>10: 2005/8/10 1刷 帯ハガキ付き<br>11: 2006/4/10 1刷 帯ハガキ付き<br>12: 2006/11/10 1刷 帯ハガキ広告付き<br>13: 2007/5/10 1刷<br>14: 2007/12/10 1刷<br>15: 2008/8/10 1刷 広告付き<br>15: 2009/4/10 1刷
いのうえ空DX,い,いのうえ空,角川書店,ドラゴンコミックス,2002/7/1,,,A5,1刷 帯付き
GBボンバー,い,いのまたむつみ,徳間書店,モーションブックス,1984/4/20,,,A5,1刷
ベル☆スタア強盗団,い,伊藤明弘,角川書店,ドラゴンコミックス,1995/3/1,全3巻あり,,A5,1:1995/3/1 1刷 帯広告付き<br>2: 1995/3/1 1刷 帯付き 3:1998/5/1 1刷 帯付き
カメラバカにつける薬,い,飯田ともき,インプレス,デジタルカメラマガジン,2022/7/1,,,A5,1刷
ブルーセンチネル,う,うらべすう,フランス書院,Xコミックス,1993/7/10,,,A5,1刷 広告付き
プラスチックリトル,う,うるし原智志,学研,ノーラコミックス,1994/5/6,,,A5,1刷
キラリティー,う,うるし原智志,学研,ノーラコミックス,1996/3/6,1巻欠け,,A5,2: 1996/3/6 1刷 3: 1997/8/6 1刷
ダーククリムゾン改訂版,う,うるし原智志,ムービック,-,2010/10/30,全4巻あり,,A5,1: 2010/10/30 1刷<br>2: 2010/10/30 1刷<br>3: 2010/10/30 1刷<br>4: 2010/10/30 1刷
プラスチックリトル オールカラー完全版,う,うるし原智志,学研,ノーラ,2012/10/13,,,B5,
レジェンドオブレムネア,う,うるし原智志(よしもときんじ),学研,ノーラコミックス,1991/10/6,全3巻あり,,A5,1: 1991/10/6 1刷<br>2: 1992/5/6 1刷<br>3: 1993/3/6 1刷
悠久黙示録エイドロンシャドー,う,うるし原智志(よしもときんじ),メディアワークス,電撃コミックスEX,1999/12/25,全2巻あり,,A5,1: 1999/12/25 1刷<br>2: 2002/5/15 1刷 帯付き
レジェンドオブレムネア 銀の章・金の章,う,うるし原智志(よしもときんじ),学研,ノーラ,,全2巻あり,,B5,
電撃ピカチュウ,お,おのとしひろ,小学館,別冊コロコロ,1997/11/25,全4巻あり,,A5,1: 1997/11/25 1刷<br>2: 1998/7/25 1刷<br>3: 1999/5/25 1刷<br>4: 2000/2/25 1刷 シール貼り直し
飛行人・アニマル!,お,大貫健一,角川書店,ニュータイプ,1992/2/20,,,A5,1刷 帯付き
AKIRA,お,大友克洋,講談社,ヤングマガジン,1984/9/21,全6巻あり,82年24号～90年28号,B5,1: 1995/9/20 37刷<br>2: 1995/3/20 27刷<br>3: 1995/3/20 22刷<br>4: 1995/9/20 24刷<br>5: 1990/12/11 1刷<br>6: 1993/3/23 1刷
ワンダートレック かがみあきら作品集2,か,かがみあきら,ラポート,-,1986/6/1,1巻所持,,B5,1: 2000/1/17 1刷<br>2: 2000/3/1 1刷
バイクランド,か,神塚ときお,白夜書房,-,1991/7/20,,,A5,1刷
棺担ぎのクロ。,き,きゆづきさとこ,芳文社,きららコミックス,,5～7巻のみ,,A5,5: 2015/7/12 1刷 6: 2017/3/14 1刷 7: 2018/8/10 1刷
GA芸術科アートデザインクラス,き,きゆづきさとこ,芳文社,きららコミックス,2006/10/12,全7巻あり,2004年9月号～,A5,1: 2008/10/31 8刷 帯売り上げカード付き<br>2: 2008/2/12　1刷 帯売り上げカード付き<br>3: 2009/9/11　1刷 帯売り上げカード付き<br>4: 2011/11/141 1刷 帯売り上げカードクリアカード付き<br>5: 2012/9/11 1刷 帯売り上げカード付き<br>6: 2014/2/11 1刷 帯売り上げカードクリアカード付き<br>6: 2016/3/13 1刷 帯売り上げカード付き
聖騎士ダンバイン異伝 エグザイルサーガ,き,衣谷遊,バンダイ,P.Cコミックス,1991/2/15,,,A5,1刷
20面相におねがい!!,く,CLAMP,角川書店,ニュータイプ,1990/6/15,全2巻あり,,A5,1: 1994/7/1 24刷<br>2: 1994/7/1 16刷
学園特警デュカリオン,く,CLAMP,角川書店,ニュータイプ,1992/3/3,全2巻あり,,A5,1: 1992/3/3 1刷<br>2: 1993/7/1 2刷
魔法騎士レイアース,く,CLAMP,講談社,なかよし,1994/7/22,全3巻あり,,A5,1: 1995/1/25 4刷<br>2: 1994/11/22 1刷<br>3: 1995/3/6 1刷
魔法騎士レイアース2,く,CLAMP,講談社,なかよし,1995/7/26,全3巻あり,,A5,1: 1995/7/26 1刷<br>2: 1995/12/18 1刷<br>3: 1996/4/23 1刷
電子妖精アバタモエクボ,こ,こやま基夫,アスキー,アスキーコミックス,1992/6/22,全3巻あり,,A5,1:1992/6/22 1刷<br>2: 1993/7/22 1刷 帯付き 3:1994/5/22 1刷 帯付き
unbalance angel ミナミ,こ,湖川友兼,徳間書店,モーションブックス,1984/11/20,,,A5,1刷
高河ゆん初期傑作集,こ,高河ゆん,双葉社,-,1997/10/15,,88年1月～91年11月,A5,1刷
アートオブドラゴンズヘブン,こ,小林誠,日本出版社,ボムコミックス,1988/5/20,,,A5,1刷 帯付き
サイバーコミックス 03,さ,サイバーコミックス,バンダイ,-,1988/8/30,,,A5,1刷 そうま竜也「日本上陸ヤンキー娘」
サイバーコミックス 06,さ,サイバーコミックス,バンダイ,-,1989/3/1,,,A5,1刷 そうま竜也「たおせカラオケ番長2」
サイバーコミックス 11,さ,サイバーコミックス,バンダイ,-,1989/9/10,,,A5,1刷 そうま竜也「Zガンダム ユーロサーカス第１話」
サイバーコミックス 14,さ,サイバーコミックス,バンダイ,-,1989/12/10,,,A5,1刷
楽園通信社綺談,さ,佐藤明機,ホビージャパン,ホビージャパンコミックス,1995/1/1,,,A5,1刷
マルトゥスの血族,さ,沢田一,富士見書房,ドラゴンマガジン,1992/3/30,全6巻あり,90年9月～97年7月,A5,1: 1992/11/30 2刷 帯ハガキ付き<br>2: 1993/3/30 1刷 帯ハガキ付き<br>3: 1994/3/30 1刷 帯ハガキ付き<br>4: 1995/9/30 1刷 帯付き<br>5: 1996/12/1 1刷 帯付き<br>6: 1999/11/1 1刷 帯付き
無敵せんせい,さ,ザンクロー,JIVE,CRコミックスDX,2009/2/15,,,A5,2刷 2009/3/8
ドミニオン,し,士郎正宗,青心社,-,1993/1/27,,,A5,2刷 1993/2/24
フェザータッチオペレーション,し,柴田昌弘,新書館,ペーパームーンコミックス,1984/8/10,1～3巻未完,,B5,1: 1984/8/10 1刷<br>2: 1986/6/10 1刷<br>3: 1987/8/10 1刷
スカーレット・ウィザードプラス,し,忍青龍(茅田砂湖),中央公論新社,-,2000/12/15,全2巻あり,,A5,1: 2004/1/10 5刷<br>2: 2004/1/10 2刷
観光王国,す,須藤真澄,ふゅーじょんぷろだくと,コミックボックス<br>SFマガジン,1989/4/20,,,A5,1刷
子午線を歩く 須藤真澄作品集2,す,須藤真澄,ふゅーじょんぷろだくと,,1990/10/1,,88年1月～90年4月,A5,1刷
振袖いちま,す,須藤真澄,偕成社,コミックファンタジー,1993/1/1,全3巻あり,90年11月～95年11月,A5,1: 1993/1/1 1刷<br>2: 1994/4/1 1刷<br>3: 2002/10/14 1刷(ビームコミックス)
アクアリウム,す,須藤真澄,新声社,ゲーメストコミックス,1994/6/30,,,A5,1刷
電気ブラン,す,須藤真澄,竹書房,,1996/4/18,,同人誌など80年～85年,A5,復刻1刷
ごきんじょ冒険対,す,須藤真澄,竹書房,まんがくらぶ,1997/7/27,,95年7月～96年9月,A5,1刷
金魚銀魚,す,須藤真澄,アスペクト,がくゆう,1999/3/29,,87年4月～94年3月,A5,1刷
てぬのほそみち,す,須藤真澄,秋田書店,きららセーズ,1999/11/25,,96年10月～99年5月,A5,1刷
あゆみ,す,須藤真澄,エンターブレイン,ビームコミックス,2001/12/6,,84年～00年,A5,1刷
りぜるまいん,す,スギサキユキル,角川書店,角川コミックスAエクストラ,2002/3/27,,,A5,1刷
ワルキューレの冒険外伝,す,杉森建,電波新聞社,ビデオゲームコミックス,1989/10/20,,,A5,1刷 ハガキ付き
嘆きのサイレン,す,鈴木理華(茅田砂湖),中央公論新社,-,2005/7/25,全3巻あり,,A5,1: 2005/7/25 1刷<br>2: 2006/5/25 1刷<br>3: 2007/3/25 1刷
キャッ党忍伝てやんでえ そうま竜也作品集,そ,そうま竜也,メディアワークス,MXコミックス,1994/6/10,,,A5,1刷 帯ハガキ広告付き
ネコたーぼ　16V,そ,そうま竜也,メディアワークス,P.Cコミックス,1996/4/20,,,A5,1刷 帯付き
GUNばれ!ゲーム天国,そ,そうま竜也,メディアワークス,P.Cコミックス,1998/11/25,,,A5,1: 1998/11/25 1刷<br>2: 2000/4/25 1刷
プライベーツライヴ 園田健一作品集,そ,園田健一,ムービック,,1987/3/31,,,A5,1刷 ハガキ付き
ゆるゆる,た,たかみち,少年画報社,ヤングキング,2010/5/3,全3巻あり,,A5,1: 2010/5/3 1刷<br>2: 2012/8/2 1刷<br>3: 2013/8/24 1刷
人魚の森,た,高橋留美子,小学館,週刊サンデー,1988/5/20,,,A5,1992/12/20 19刷
人魚の傷,た,高橋留美子,小学館,週刊サンデー,1993/1/15,,,A5,1993/8/20 4刷
新万能文化猫娘 誕生編,た,高田祐三,角川書店,コミックスA,1993/3/1,,,A5,1刷 帯付き
アップルパラダイス,た,竹本泉,ホビージャパン,ホビージャパンコミックス,1994/8/1,"2,3巻欠け",,A5,1: 1994/8/1 1刷
秘境探検ファム&イーリー1,た,田中久仁彦,ホビージャパン,ホビージャパンコミックス,1995/10/1,,,A5,1995/11/20 3刷 帯付き
一撃必虫ホイホイさん,た,田中久仁彦,メディアファクトリー,電撃コミックスEX,2004/10/25,,,A5,1刷 帯ハガキ付き
TAKE MOON,た,武梨えり,一迅社,メディアコミックス,2004/7/15,全2巻あり,,A5,1: 2010/11/24 10刷<br>2: 2006/9/1 1刷 帯付き
クロスファイア,ち,ちみもりお,久保書店,ワールドコミックス,1985/4/1,,,A5,1刷
冥王計画ゼオライマー,ち,ちみもりお,久保書店,ワールドコミックス,1986/3/25,,,A5,1刷
冥王計画ゼオライマー 完全版,ち,ちみもりお,徳間書店,-,2008/1/1,,,A5,1刷
ロマンシア,つ,円英智(寺田憲史),角川書店,ドラゴンコミックス,1988/5/15,,,A5,1988/5/15 1刷 帯付き
ザナドゥ,と,都築和彦,角川書店,ドラゴンコミックス,1987/6/15,,,A5,1988/6/25 8刷 帯付き
ぱらいそ,と,道満晴明,ワニマガジン,ワニマガジン,2011/2/25,全2巻あり,,A5,1: 2011/7/15 7刷<br>2: 2013/7/20 1刷
ファイブスター物語,な,永野護,角川書店,ニュータイプ,1987/5/21,全7巻あり,,A5,1: 1992/3/25 38刷<br>1 1998EDITION: 2007/11/1 改訂17刷<br>2: 1991/10/15 24刷<br>2: 2005/3/1 1刷 ハガキ付き<br>3: 1990/9/1 1刷<br>4: 1991/10/1 1刷<br>5: 1992/11/20 1刷<br>6: 1994/3/20 1刷<br>7: 1995/9/20 4刷<br>8: 2000/11/20 14刷<br>9: 1998/9/30 1刷<br>10: 2000/10/1 1刷<br>11: 2003/4/30 1刷<br>12: 2006/4/10 1刷<br>13: 2018/6/12 2刷 帯付き<br>14: 2018/2/10 1刷 帯付き<br>15: 2019/12/10 1刷 帯ハガキ付き<br>16: 2021/10/8 1刷 帯ハガキ付き<br>17: 2023/3/10 1刷 帯ハガキ付き
フールフォーザシティ,な,永野護,角川書店,ニュータイプ,1987/10/21,,,A5,1: 1998/1/10 30刷
ファイブスター物語リブート,な,永野護,角川書店,ニュータイプ,2011/2/10,全7巻あり,,A5,1: 2011/6/7 3刷 広告付き<br>2: 2011/4/9 1刷 広告ハガキ付き<br>3: 2011/6/10 1刷 広告ハガキ付き<br>4: 2011/8/10 1刷<br>5: 2011/10/8 1刷<br>6: 2012/1/10 1刷 広告ハガキ付き<br>7: 2012/3/10 1刷
ファイブスター物語トレーサー,な,永野護,角川書店,ニュータイプ,2012/10/10,全2巻あり,,A5,1: 2012/10/10 1刷 帯付き<br>2: 2013/3/25 1刷
ゲキカラ文化交流,ぬ,沼江蛙,芳文社,マンガタイムコミックス,2013/10/22,1～2巻あり,,A5,
ぼっち・ざ・ろっく!,は,はまじあき,芳文社,きららMAX,2019/3/14,1～6巻あり,,A5,1: 2023/3/10 19刷 帯付き<br>2: 2023/2/15 13刷 帯付き<br>3: 2020/11/25 137刷<br>4: 2020/11/25 125刷<br>5: 2020/11/25 100刷<br>6: 2020/11/25 104刷
ぼっち・ざ・ろっく!アンソロジー,は,はまじあき,芳文社,きららMAX,2019/3/14,2巻欠け,,A5,1: 2023/4/30 10刷 帯付き
ハンバーガーちゃん絵日記,は,ハンバーガー,角川書店,-,2021/5/27,,,A5,1刷 帯付き
轟世剣ダイ・ソード,は,長谷川裕一,徳間書店,キャプテンコミックス,1995/5/15,全7巻あり,,A5,1: 1995/5/15 1刷<br>2: 1995/6/10 1刷<br>3: 1995/7/10 1刷<br>4: 1995/8/15 1刷<br>5: 1996/4/25 1刷<br>6: 1996/11/25 1刷<br>7: 1997/1/20 1刷
オレンジトリップ0926,は,服部あゆみ,徳間書店,モーションブックス,1984/12/20,,,A5,1刷
ドージンワーク,ひ,ヒロユキ,芳文社,きららコミックス,2006/1/10,全6巻あり,,A5,1: 2006/4/5 4刷<br>2: 2006/10/5 2刷<br>3: 2007/4/11 1刷<br>4: 2007/8/11 1刷<br>5: 2008/4/11 1刷<br>6: 2008/11/11 帯付き 1刷
月曜日のたわわ,ひ,比村奇石,講談社,ヤングマガジン,2021/4/21,1～9巻続刊,20年51号～,B5,1: 2021/4/21 2刷<br>2: 2021/8/2 1刷<br>3: 2021/12/6 1刷<br>4: 2022/4/4 1刷<br>5: 2022/8/1 1刷<br>6: 2022/12/5 1刷<br>7: 2023/5/8 1刷<br>8: 2023/8/7 1刷<br>9: 2023/12/4 1刷
真弾劾凰聖伝DOLL1,ひ,平野俊弘,学研,ノーラコミックス,1992/3/6,2～5巻欠け,,A5,1: 1992/3/6 1刷
無敵少女ラミー,ひ,平野俊弘(石川賢),徳間書店,モーションブックス,1984/7/20,,,A5,1刷
アクアリウム,ひ,博,芳文社,きららコミックス,2010/10/12,1巻あり,,A5,1刷
魔王の子供達,ふ,舞井武依,ミリオン出版,MCコミックス,1990/12/1,,,A5,2刷
魔王の子供達PLUS,ふ,舞井武依,辰巳出版,PACコミックス,1991/11/5,,,A5,1刷
茶目子,ふ,藤原カムイ,新書館,-,1986/2/5,,,A5,1刷
ドーラ 失われた世界,ま,真鍋譲治,新書館,ペーパームーンコミックス,1988/1/10,,,B5,1刷
アウトランダーズ愛蔵版,ま,真鍋譲治,白泉社,ジェッツコミックス,1989/7/31,全2巻あり,,A5,1: 1990/2/20 3刷<br>2: 198911/15 2刷
バンパネラ,ま,真鍋譲治,富士見書房,富士見ファンタジアコミックス,1991/2/10,,,A5,1刷 帯付き
ビキニウォリアーズ,ま,match,ホビージャパン,HJコミックス,2015/12/27,全1巻あり,,A5,1刷
はいぱ～ぽりす,み,MEE,角川書店,ドラゴンコミックス,1994/4/1,全10巻あり,,A5,1: 1997/4/1 3刷<br>2: 1997/4/1 3刷<br>3: 1997/4/1 2刷<br>4: 1997/9/1 1刷<br>5: 1999/5/1 1刷<br>6: 2000/8/1 1刷<br>7: 2001/10/1 1刷 帯付き<br>8: 2002/8/1 1刷 帯付き<br>9: 2003/5/1 1刷 帯付き<br>10: 2004/10/1 1刷 帯付き
風の谷のナウシカ,み,宮崎駿,徳間書店,アニメージュ,1983/8/25,全7巻あり,82年2月号～,B5,1: 2020/11/25 150刷<br>2: 2020/11/25 148刷<br>3: 2020/11/25 137刷<br>4: 2020/11/25 125刷<br>5: 2020/11/25 100刷<br>6: 2020/11/25 104刷<br>7: 2020/11/25 99刷
宇宙課々付エヴァ・レディ,み,御米椎,竹書房,バンブーコミックス,1994/4/28,2巻欠け,,A5,1: 1994/4/28 1刷
マリオネットジェネレーション,み,美樹本晴彦,角川書店,ニュータイプ,1989/7/1,全5巻あり,,A5,1: 1991/12/1 5刷<br>2: 1991/10/1 1刷 帯付き<br>3: 1994/4/30 1刷<br>4: 1997/4/30 1刷 帯ハガキ付き<br>5: 1998/3/30 1刷 ハガキ付き
パワード ミユちゃん,め,MEIMU,久保書店,ワールドコミックス,1987/8/25,全2巻あり,,A5,1: 1987/8/25 1刷<br>2: 1989/4/20 1刷
じょしらく,や,ヤス(久米田康治),講談社,別冊少年マガジン,2010/5/17,全6巻あり,,A5,1: 2012/6/4 4刷 帯付き<br>2: 2012/6/4 2刷 帯付き<br>3: 2012/6/4 2刷 帯付き<br>4: 2012/6/8 1刷 帯付き<br>5: 2013/2/8 1刷 帯付き<br>6: 2013/11/8 1刷 帯付き
ぱろでぃわぁるど,ゆ,ゆうきまさみ,みのり書房,OUTコミックス,1985/10/5,,,A5,1刷
マジカルルシィ ゆうきまさみ初期作品集,ゆ,ゆうきまさみ,ラポート,ラポートコミックス,1987/5/1,,,A5,8刷
アッセンブルインサート,ゆ,ゆうきまさみ,みのり書房,OUTコミックス,1988/3/20,,,A5,1刷
ヤマトタケルの冒険,ゆ,ゆうきまさみ,みのり書房,OUTコミックス,1989/12/30,,,A5,1刷
鉄腕バーディー 第1巻,ゆ,ゆうきまさみ,小学館,週刊サンデー,1996/8/15,,,A5,1刷
馬なり1ハロン劇場,よ,よしだみほ,双葉社,アクションコミックス,1992/6/12,1～6巻あり,,A5,1: 1995/12/15 22刷<br>2: 1995/12/15 13刷<br>3: 1995/11/23 11刷<br>4: 1996/1/7 8刷<br>5: 1994/9/27 1刷<br>6: 1996/1/7 6刷
馬なり1ハロン劇場2012秋,よ,よしだみほ,双葉社,アクションコミックス,2012/11/20,,,A5,1刷
メタルスレイダーグローリー エイミアの面影,よ,よしみる,メディアワークス,電撃コミックスEX,1995/8/25,,,A5,1刷
吉田戦車のゲーム漫画大全兄,よ,吉田戦車,エンターブレイン,ビームコミックス,2004/1/5,,,A5,2006/2/10 6刷
負けるな魔剣道,よ,吉田佑之,ホビージャパン,,1993/6/21,,,A5,1刷 帯付き
16bitセンセーション,わ,若木民喜,角川書店,-,2020/9/14,全2巻あり,,A5,1: 2020/10/15 2帯付き<br>2: 2021/11/6 1刷 帯付き
美少女症候群,ん,アンソロジー,ふゅーじょんぷろだくと,-,1985/8/1,,,A5,1刷
美少女症候群6,ん,アンソロジー,ふゅーじょんぷろだくと,-,1987/12/1,,,A5,1刷
コミックガンバスター,ん,アンソロジー,バンダイ,P.Cコミックス,1989/8/10,,,A5,1刷
マシンヘッド 02,ん,アンソロジー,白夜書房,-,1989/10/20,,,A5,1刷 ハガキ付き そうま竜也「イミテーションガール」
エリアルコミック,ん,アンソロジー,朝日ソノラマ,-,1990/8/25,全14巻あり,,A5,1: 1990/8/25 1刷 帯付き<br>2: 1990/12/25 1刷<br>3: 1991/3/25 1刷<br>4: 1991/6/25 1刷 帯付き<br>5: 1991/9/15 1刷<br>6: 1991/11/15 1刷<br>7: 1992/2/1 刷 帯付き<br>8: 1992/4/1 1刷 帯付き<br>9: 1992/5/30 1刷 帯付き<br>10: 1992/8/25 1刷 帯付き<br>11: 1992/9/30 1刷 帯付き<br>12: 1992/12/25 1刷 帯付き<br>13: 1993/3/10 1刷 帯付き<br>14: 1993/4/30 1刷 帯付き
コミックガンバスター2,ん,アンソロジー,バンダイ,P.Cコミックス,1991/5/10,,,A5,1刷
スーパーコンプ1,ん,アンソロジー,角川書店,コンプコミックスDX,1992/11/10,全1巻,,A5,1刷
コミックマスター16,ん,アンソロジー,ホビージャパン,-,1993/9/18,,,A5,1刷 連載「楽園通信社綺談」、<br>田中久仁彦「ブッタギレイヤー」、<br>「ゆみみみっくす」
ロリアルコミック1.0,ん,アンソロジー,朝日ソノラマ,-,1993/9/30,,,A5,1刷
ToHeartコミックアンソロジー,ん,アンソロジー,スタジオDNA,-,,1～2、4～11、20、22、24～30,,A5,
ToHeart4コマKINGS,ん,アンソロジー,スタジオDNA,,,1巻のみ,,A5,
ToHeart4コママンガ劇場,ん,アンソロジー,エニックス,,,5～7巻のみ,,A5,
機動戦士ガンダム THE ANTHOLOGY VOL.2,ん,アンソロジー,角川書店,コミックスA,2003/9/1,,,A5,1刷 広告ハガキ付き あさりよしとお「Fight!」
エリアル読本,ん,アンソロジー,朝日ソノラマ,-,2004/8/20,,,A5,1刷 帯CD「ARIELⅢ 野良無人戦艦の恐怖」付き
